	index	text	hypothesis	gold_label 	importance
0	1	I'll not hurry over that part.	"""I'll be quick with that part."""	contradiction	1
1	2	I'll hurry over that part.	"""I'll not be quick with that part."""	contradiction	1
2	3	I'll not hurry over that part.	"""I'll not be quick with that part."""	entailment	['1', '1']
3	5	Shall I tell you why you have not been so vehement against Mr. Inglethorp?	I can tell you why you're being so vehement against Mr. Inglethorp.	contradiction	1
4	6	Shall I tell you why you have been so vehement against Mr. Inglethorp? 	I can not tell you why you're being so vehement against Mr. Inglethorp.	contradiction	1
5	7	Shall I tell you why you have not been so vehement against Mr. Inglethorp?	I can not tell you why you're being so vehement against Mr. Inglethorp.	neutral	['1', '1']
6	9	well you know that does not bring up the interesting subject too you know what would you have who who who would determine what these people do	It begs the question of who gets to say what the other people do.	contradiction	1
7	10	well you know that brings up the interesting subject too you know what would you have who who who would determine what these people do	It does not begs the question of who gets to say what the other people do.	contradiction	1
8	11	well you know that does not bring up the interesting subject too you know what would you have who who who would determine what these people do	It does not begs the question of who gets to say what the other people do.	entailment	['1', '1']
9	13	A great Sather did not made the sun  remain in one place too long, and the heat became too great.	It got too hot when a Sather kept the sun in one spot.	neutral	1
10	14	A great Sather made the sun remain in one place too long, and the heat became too great.	It did not get too hot when a Sather kept the sun in one spot.	contradiction	1
11	15	A great Sather did not made the sun  remain in one place too long, and the heat became too great.	It did not get too hot when a Sather kept the sun in one spot.	entailment	['1', '1']
12	17	"Of course, it will not be generally known to-morrow."" John reflected."	The news was about to break, and John had announced that he found out the newspaper would be announcing it tomorrow to the public.	neutral	0
13	18	"Of course, it will be generally known to-morrow."" John reflected. "	The news was not about to break, and John had announced that he found out the newspaper would be announcing it tomorrow to the public.	neutral	0
14	19	"Of course, it will not be generally known to-morrow."" John reflected."	The news was not about to break, and John had announced that he found out the newspaper would be announcing it tomorrow to the public.	neutral	['0', '0']
15	21	Overall, though, the agency representatives did not question the need for a standardized approach to using IT to facilitate public participation in rulemaking.	The agency representatives are extremely clever	neutral	0
16	22	Overall, though, the agency representatives questioned the need for a standardized approach to using IT to facilitate public participation in rulemaking.	The agency representatives are not extremely clever	neutral	0
17	23	Overall, though, the agency representatives did not question the need for a standardized approach to using IT to facilitate public participation in rulemaking.	The agency representatives are not extremely clever	neutral	['0', '0']
18	25	The Kosovo story does not describe a massacre in which local nationalist Serbs and paramilitaries murdered at least 21 members of one family.	Nationalist Germans killed 200 members of one family in Kosovo.	neutral	1
19	26	The Kosovo story details a massacre in which local nationalist Serbs and paramilitaries murdered at least 21 members of one family.	Nationalist Germans did not kill 200 members of one family in Kosovo.	neutral	1
20	27	The Kosovo story does not describe a massacre in which local nationalist Serbs and paramilitaries murdered at least 21 members of one family.	Nationalist Germans did not kill 200 members of one family in Kosovo.	neutral	['0', '0']
21	29	We did not have approximately 400 cases in Butler County last year.	Butler county had 600 cases last year.	neutral	1
22	30	We had approximately 400 cases in Butler County last year.	Butler county did not have 600 cases last year.	entailment	1
23	31	We did not have approximately 400 cases in Butler County last year.	Butler county did not have 600 cases last year.	neutral	['1', '0']
24	33	That's not a department store	that is a department store where i buy my kids' school uniforms	contradiction	1
25	34	that's a department store	that is not a department store where i buy my kids' school uniforms	neutral	0
26	35	That's not a department store	that is not a department store where i buy my kids' school uniforms	neutral	['0', '1']
27	37	There are not nightclubs in the principal hotels, with bands, dancing, and floor shows.	Nightclubs with bands, dancing and floor shows can be found in the principal hotels	contradiction	1
28	38	There are nightclubs in the principal hotels, with bands, dancing, and floor shows.	Nightclubs with bands, dancing and floor shows can not be found in the principal hotels	contradiction	1
29	39	There are not nightclubs in the principal hotels, with bands, dancing, and floor shows.	Nightclubs with bands, dancing and floor shows can not be found in the principal hotels	entailment	['1', '1']
30	41	well that's good yeah that's not bad i had two i managed i guess when i was in high school or junior high i did not manage to talk my parents into letting me have a gerbil	I wanted a monkey instead of a gerbil.  	neutral	0
31	42	well that's good yeah that's not bad i had two i managed i guess when i was in high school or junior high i managed to talk my parents into letting me have a gerbil	I did not want a monkey but a gerbil. 	entailment	1
32	43	well that's good yeah that's not bad i had two i managed i guess when i was in high school or junior high i did not manage to talk my parents into letting me have a gerbil	I did not want a monkey but a gerbil. 	neutral	['1', '0']
33	45	The Postal Service would probably not make changes in the way postage is sold.	The Postal Service is likely to make changes in the selling of postage.	contradiction	1
34	46	The Postal Service would probably make changes in the way postage is sold.	The Postal Service is not likely to make changes in the selling of postage.	contradiction	1
35	47	The Postal Service would probably not make changes in the way postage is sold.	The Postal Service is not likely to make changes in the selling of postage.	entailment	['1', '1']
36	49	They cannot hear what Conrad says.	Conrad is within earshot of them.	neutral	1
37	50	They can hear what Conrad says.	Conrad is not within earshot of them.	contradiction	1
38	51	They cannot hear what Conrad says.	Conrad is not within earshot of them.	neutral	['1', '0']
39	53	From Kentucky. It wasn't that he was overly suspicious, nor was it that there was a challenge in the Mexican official's voice, a faint suggestion that there was something wrong with the origin of both horse and owner?	Kentucky asked those questions to learn more about the target that he was supposed to kill.	neutral	0
40	54	From Kentucky. Was he unduly suspicious or was there a challenge in the Mexican officer's voice a faint suggestion that the antecedents of both horse and owner were in question?	Kentucky did not ask those questions to learn more about the target that he was supposed to kill.	neutral	0
41	55	From Kentucky. It wasn't that he was overly suspicious, nor was it that there was a challenge in the Mexican official's voice, a faint suggestion that there was something wrong with the origin of both horse and owner?	Kentucky did not ask those questions to learn more about the target that he was supposed to kill.	neutral	['0', '0']
42	57	For centuries the barons did not defy the papal authority in Avignon and the kings of France, offering refuge to Protestants during the Wars of Religion, until, in 1632, Louis XIII ordered the destruction of Les Baux.	The barons despised the Protestants since they practiced a different faith.	contradiction	0
43	58	For centuries the barons defied the papal authority in Avignon and the kings of France, offering refuge to Protestants during the Wars of Religion, until, in 1632, Louis XIII ordered the destruction of Les Baux.	The barons did not despise the Protestants since they practiced a different faith.	entailment	1
44	59	For centuries the barons did not defy the papal authority in Avignon and the kings of France, offering refuge to Protestants during the Wars of Religion, until, in 1632, Louis XIII ordered the destruction of Les Baux.	The barons did not despise the Protestants since they practiced a different faith.	entailment	['0', '1']
45	61	Today's environment is not results-oriented.	Today's environment happened is success driven.	contradiction	1
46	62	Today's environment is results-oriented.	Today's environment happened is not success driven.	contradiction	1
47	63	Today's environment is not results-oriented.	Today's environment happened is not success driven.	entailment	['1', '1']
48	65	It was not about thirty foot away from the house, maybe, and I sort of got it into my head that, if I climbed up that tree, I'd very likely be able to see into that room.	I thought that if I went up a tree I would see what was in the room. 	entailment	0
49	66	It was about thirty foot away from the house, maybe, and I sort of got it into my head that, if I climbed up that tree, I'd very likely be able to see into that room.	I did not think that if I went up a tree I would see what was in the room. 	contradiction	1
