	index	text	correct	hypothesis	correct.1	label1	label2	gold_label
0	1	A historian and his friend are not digging in the mines to look for more fossils for study.		the historian is digging with his friend for study.		contradiction	contradiction	contradiction
1	2	A historian and his friend digging in the mines to look for more fossils for study.		the historian is not digging with his friend for study.		contradiction	contradiction	contradiction
2	3	A historian and his friend are not digging in the mines to look for more fossils for study.	1.0	the historian is not digging with his friend for study.	1.0	entailment	entailment	entailment
3	5	Boy is not getting helped onto a merry-go-round.		A boy is riding a donkey.		contradiction	neutral	contradiction
4	6	Boy getting helped onto a merry-go-round.		A boy is not riding a donkey.		entailment	neutral	entailment
5	7	Boy is not getting helped onto a merry-go-round.	1.0	A boy is not riding a donkey.	1.0	entailment	neutral	neutral
6	9	A man  not making a contemplative pose in a laundry room.		A man is outside on the patio.		neutral	neutral	neutral
7	10	A man making a contemplative pose in a laundry room.		A man is not outside on the patio.		entailment	entailment	entailment
8	11	A man  not making a contemplative pose in a laundry room.	1.0	A man is not outside on the patio.	1.0	neutral	neutral	neutral
9	13	A foreign man is not preparing an ethnic dish.		A foreign man is preparing an ethnic dish, filled with colorful vegetables and fruit.		contradiction	contradiction	contradiction
10	14	A foreign man is preparing an ethnic dish.		A foreign man is not preparing an ethnic dish, filled with colorful vegetables and fruit.		contradiction	contradiction	contradiction
11	15	A foreign man is not preparing an ethnic dish.	1.0	A foreign man is not preparing an ethnic dish, filled with colorful vegetables and fruit.	1.0	entailment	entailment	entailment
12	17	Two young blond girls are not eating with chopsticks.		Some girls are eating Chinese food.		neutral	neutral	neutral
13	18	Two young blond girls are eating with chopsticks.		Some girls are not eating Chinese food.		neutral	neutral	neutral
14	19	Two young blond girls are not eating with chopsticks.	1.0	Some girls are not eating Chinese food.	1.0	neutral	neutral	neutral
15	21	A woman in blue is not sweeping the sidewalk.		The woman is wearing red.		contradiction	contradiction	contradiction
16	22	A woman in blue sweeping the sidewalk.		The woman is not wearing red.		entailment	entailment	entailment
17	23	A woman in blue is not sweeping the sidewalk.	1.0	The woman is not wearing red.	1.0	entailment	entailment	entailment
18	25	A dog is not running along a beach on a sunny day.		A dog is chasing another dog outside.		neutral	neutral	neutral
19	26	A dog is running along a beach on a sunny day.		A dog is not chasing another dog outside.		neutral	neutral	neutral
20	27	A dog is not running along a beach on a sunny day.	1.0	A dog is not chasing another dog outside.	1.0	neutral	neutral	neutral
21	29	The woman in the red jacket does not look at the child in a green jacket.		There is a dog in a stroller.		neutral	neutral	neutral
22	30	The woman in the red jacket looks at the child in a green jacket.		There is not a dog in a stroller.		neutral	neutral	neutral
23	31	The woman in the red jacket does not look at the child in a green jacket.	1.0	There is not a dog in a stroller.	1.0	neutral	neutral	neutral
24	33	A lady not sitting in a dark room with a little light, that has a variety of fruit in different sizes of square baskets.		the lady is waiting for a friend.		neutral	neutral	neutral
25	34	A lady sitting in a dark room with a little light, that has a variety of fruit in different sizes of square baskets.		the lady is not waiting for a friend.		neutral	neutral	neutral
26	35	A lady not sitting in a dark room with a little light, that has a variety of fruit in different sizes of square baskets.	1.0	the lady is not waiting for a friend.	1.0	neutral	neutral	neutral
27	37	A man in a hat does not stand and smiles.		A tall person standing.		neutral	neutral	neutral
28	38	A man in a hat stands and smiles.		A tall person is not standing.		neutral	neutral	neutral
29	39	A man in a hat does not stand and smiles.	1.0	A tall person is not standing.	1.0	neutral	neutral	neutral
30	41	A blond-haired child is not swinging on a tire swing.		Two girls play with hula hoops.		neutral	neutral	neutral
31	42	A blond-haired child is swinging on a tire swing.		Two girls do not play with hula hoops.		entailment	entailment	entailment
32	43	A blond-haired child is not swinging on a tire swing.	1.0	Two girls do not play with hula hoops.	1.0	neutral	neutral	neutral
33	45	Two young girls wearing hijabs do not stand in a dirt courtyard, one has her arms folded and looks away the other is staring into the camera with her hands on her hips.		Two young girls are covered.		entailment	entailment	entailment
34	46	Two young girls wearing hijabs stand in a dirt courtyard, one has her arms folded and looks away the other is staring into the camera with her hands on her hips.		Two young girls are not covered.		contradiction	contradiction	contradiction
35	47	Two young girls wearing hijabs do not stand in a dirt courtyard, one has her arms folded and looks away the other is staring into the camera with her hands on her hips.	1.0	Two young girls are not covered.	1.0	contradiction	contradiction	contradiction
36	49	"A hockey game is not being played and a hockey player named ""David"" is trying to score against the goalie."		There are two men figure skating.		neutral	neutral	neutral
37	50	"A hockey game is being played and a hockey player named ""David"" is trying to score against the goalie."		There are not two men figure skating.		neutral	neutral	neutral
38	51	"A hockey game is not being played and a hockey player named ""David"" is trying to score against the goalie."	1.0	There are not two men figure skating.	1.0	neutral	neutral	neutral
39	53	A young black woman wearing a white tennis dress, white visor and white tennis shoes is not swinging a racquet while playing a game of tennis.		The woman is riding a bike.		contradiction	contradiction	contradiction
40	54	A young black woman wearing a white tennis dress, white visor and white tennis shoes is swinging a racquet while playing a game of tennis.		The woman is not riding a bike.		entailment	entailment	entailment
41	55	A young black woman wearing a white tennis dress, white visor and white tennis shoes is not swinging a racquet while playing a game of tennis.	1.0	The woman is not riding a bike.	1.0	entailment	entailment	entailment
42	57	Four people in winter gear are not jumping over a hill in snowshoes with their hands in the air.		The group has reached the summit of the mountain		neutral	neutral	neutral
43	58	Four people in winter gear jumping over a hill in snowshoes with their hands in the air.		The group has not reached the summit of the mountain		neutral	neutral	neutral
44	59	Four people in winter gear are not jumping over a hill in snowshoes with their hands in the air.	1.0	The group has not reached the summit of the mountain	1.0	neutral	neutral	neutral
45	61	Wolf-like dog is not chasing white wiffle ball through a green field.		A dog chases the ball its owner threw.		neutral	neutral	neutral
46	62	Wolf-like dog chasing white wiffle ball through a green field.		A dog does not chase the ball its owner threw.		neutral	neutral	neutral
